# Temp		E				E^2				E^4				M				M^2				M^4
1.500000	-1.9523590088	3.8117059737	14.5291066148	0.9868392944	0.9738518137	0.9483874353
1.510000	-1.9503204346	3.8037505059	14.4685286854	0.9862960815	0.9727800289	0.9463012508
1.520000	-1.9470275879	3.7909167412	14.3710544856	0.9852737427	0.9707643647	0.9423835166
1.530000	-1.9450622559	3.7832688575	14.3131486498	0.9848129272	0.9698566380	0.9406224273
1.540000	-1.9423370361	3.7726750411	14.2331053302	0.9839599609	0.9681773401	0.9373678861
1.550000	-1.9403472900	3.7649485010	14.1748506927	0.9832092285	0.9667004754	0.9345101506
1.560000	-1.9380493164	3.7560360278	14.1078197886	0.9826690674	0.9656385691	0.9324581288
1.570000	-1.9352539063	3.7452101890	14.0266369296	0.9816619873	0.9636604445	0.9286421738
1.580000	-1.9338745117	3.7398713357	13.9866482080	0.9813964844	0.9631391716	0.9276374954
1.590000	-1.9305297852	3.7269487510	13.8901991501	0.9804092407	0.9612025955	0.9239116455
1.600000	-1.9291076660	3.7214582539	13.8492793163	0.9798721313	0.9601496041	0.9218880696
1.610000	-1.9255340576	3.7076825860	13.7469276457	0.9787200928	0.9578931574	0.9175598273
1.620000	-1.9235565186	3.7000717304	13.6905611638	0.9782165527	0.9569078651	0.9156735854
1.630000	-1.9198486328	3.6858199927	13.5852870126	0.9770782471	0.9546820976	0.9114186589
1.640000	-1.9167449951	3.6739136196	13.4976742621	0.9760025024	0.9525810807	0.9074114618
1.650000	-1.9138519287	3.6628336395	13.4164151876	0.9751281738	0.9508754203	0.9041658327
1.660000	-1.9115692139	3.6541020084	13.3525368058	0.9744552612	0.9495636959	0.9016736434
1.670000	-1.9075408936	3.6387157695	13.2403034863	0.9731918335	0.9471027923	0.8970053937
1.680000	-1.9059356689	3.6325926045	13.1957556249	0.9726211548	0.9459920353	0.8949014025
1.690000	-1.9023895264	3.6190873412	13.0978139038	0.9715270996	0.9438650253	0.8908816392
1.700000	-1.8978637695	3.6018895382	12.9736464201	0.9698806763	0.9406688627	0.8848591749
1.710000	-1.8943939209	3.5887334131	12.8790804929	0.9689270020	0.9388200439	0.8813849848
1.720000	-1.8905975342	3.5743645308	12.7761603346	0.9676788330	0.9364030574	0.8768534337
1.730000	-1.8870300293	3.5608884634	12.6800140170	0.9662734985	0.9336849435	0.8717693274
1.740000	-1.8844024658	3.5509754232	12.6094658241	0.9654342651	0.9320637135	0.8687442329
1.750000	-1.8804718018	3.5361765292	12.5045774311	0.9641281128	0.9295432852	0.8640517128
1.760000	-1.8771026611	3.5235158015	12.4151833440	0.9629119873	0.9271997795	0.8597004848
1.770000	-1.8719177246	3.5040800109	12.2786334245	0.9613082886	0.9241142193	0.8539892850
1.780000	-1.8680786133	3.4897198357	12.1781742657	0.9600891113	0.9217716008	0.8496647238
1.790000	-1.8620025635	3.4670553964	12.0204987570	0.9579223633	0.9176156662	0.8420200236
1.800000	-1.8603820801	3.4610241498	11.9787250497	0.9572113037	0.9162539318	0.8395229238
1.810000	-1.8546447754	3.4397098455	11.8316396351	0.9554321289	0.9128509617	0.8332983711
1.820000	-1.8492401123	3.4197044869	11.6945907685	0.9531799316	0.9085545490	0.8254807003
1.830000	-1.8459442139	3.4075108137	11.6111404791	0.9521545410	0.9065986743	0.8219226222
1.840000	-1.8421875000	3.3936598323	11.5169955508	0.9504440308	0.9033451467	0.8160371192
1.850000	-1.8353088379	3.3683609950	11.3458890088	0.9479324341	0.8985762347	0.8074404539
1.860000	-1.8330352783	3.3600208560	11.2897740714	0.9474548340	0.8976709236	0.8058140241
1.870000	-1.8256011963	3.3328231481	11.1077557515	0.9442550659	0.8916190302	0.7949894929
1.880000	-1.8204193115	3.3139278887	10.9821368544	0.9421401978	0.8876282650	0.7878843373
1.890000	-1.8162292480	3.2986969217	10.8815100495	0.9405807495	0.8846928090	0.7826837107
1.900000	-1.8100830078	3.2764026543	10.7348426502	0.9383026123	0.8804123733	0.7751279932
1.910000	-1.8039093018	3.2540926964	10.5891704352	0.9356079102	0.8753636013	0.7662664750
1.920000	-1.7961669922	3.2262251134	10.4086476771	0.9330078125	0.8705056158	0.7577871148
1.930000	-1.7923858643	3.2126503888	10.3211649748	0.9313217163	0.8673627613	0.7523272587
1.940000	-1.7864807129	3.1915141000	10.1857719817	0.9290679932	0.8631676370	0.7450594087
1.950000	-1.7799163818	3.1681164385	10.0371405684	0.9269149780	0.8591759792	0.7381991603
1.960000	-1.7737243652	3.1461057861	9.8980779583	0.9233459473	0.8525701587	0.7268841275
1.970000	-1.7651519775	3.1157664058	9.7080612913	0.9193954468	0.8452898274	0.7145211088
1.980000	-1.7593536377	3.0953362576	9.5812430471	0.9171157837	0.8411029450	0.7074594929
1.990000	-1.7531463623	3.0735410457	9.4468865954	0.9150558472	0.8373324497	0.7011431965
2.000000	-1.7447387695	3.0441167052	9.2666870496	0.9106185913	0.8292265636	0.6876178366
2.010000	-1.7372955322	3.0182030763	9.1096380407	0.9072570801	0.8231169769	0.6775267251
2.020000	-1.7323394775	3.0010286897	9.0065170222	0.9053421021	0.8196536756	0.6718628509
2.030000	-1.7232604980	2.9696382415	8.8188878822	0.9008575439	0.8115475697	0.6586200029
2.040000	-1.7163146973	2.9457425714	8.6774749110	0.8974853516	0.8054810704	0.6488033409
2.050000	-1.7069976807	2.9138579215	8.4907639842	0.8935165405	0.7983787349	0.6374306680
2.060000	-1.6989074707	2.8862879724	8.3306741738	0.8897476196	0.7916530519	0.6267216030
